Question,Answer1,Answer2,Answer3,Answer4,Correct
भेडामा नस्ल सुधारका उपाय पत्ता लगाउने बैज्ञानिक को हुन् ?,John Kay,रबर्टवेक बेल,James Hargreaves,George Stephenson,
सन् २०१४ को FIFA विश्वकप बिजेता कुन राष्ट्र भयो ?,Holland,Germany,Argentina,Brazil,
Galileo ले पता लगाएको ग्रह कुन हो ?,अरुण्ड,शुक्र,Biraspati,शनी,
विश्वमा सबैभन्दा बढि HIV सक्रमित भएको देश कुन हो ?,China,Brazil,Pakistan,India,
संसारकै सबै भन्दा छिटो उड्ने चरा कुन हो ?,Golden Eagle,Teal,Swift,Peregrine Falcon,
बच्चा कति उमेरको भएपछि दादुराविरुद्धको खोप दिईन्छ ?,९ महिना,७ महिना,८ महिना,१० महिना,
Motorcycle को अविस्कार कसले गरेको थियो ?,Gottliels Daimler,Clark,John J.Loud,John walker,
राष्ट्रिय गान नभएको देशः,China,Japan,Switzerland,Mexico,
१ लाख अमेरिकी डलरको SAARC Literary Award पाउने नेपाली साहित्यकार को हुन् ?,रबिन मास्के,सरोज अधिकारी,सुमन पोख्रेल,मन्जु थापा,
Law of Heredity का प्रतिपादक को हुन् ?,John peterson,Newton,John graear mandel,Maxwell,
World सम्पदा  दिवस कहिले मनाइन्छ ?,15 April,11 April,18 April,10 April,
How many bones are there invertbrate?,33,30,35,32,
नेपाल राष्ट्र बैंक को स्थापना कहिले भएको हो?,28 April 1956,26 April 1956,25 April 1956,27 April 1956,
विश्व मधुमेह दिवस कहिले मनाइन्छ ?,जनवरी २६,नोभेम्बर १४,मार्च २४,अप्रिल ७,
नागढुङ्गा–नौबिसे सुरुङमार्गको शिलान्यास कहिले गरिएको हो ?,विसं २०७६ कात्तिक १,विसं २०७६ कात्तिक ३,विसं २०७६ कात्तिक ४,विसं २०७६ कात्तिक २,
नेपालमा सन् २०३० सम्ममा कुपोषणको दर कति प्रतिशतमा झार्ने लक्ष्य लिइएको छ ?,१५ प्रतिशत,१६ प्रतिशत,१७ प्रतिशत,१४ प्रतिशत,
अमेरिकाका पहिलो राष्ट्रपति जर्ज वासिङ्टन  ले आफ्ना सैनिक संग खेलेको खेल कुन हो?,Chess,Football,Rounder/Baseball,Cricket,
अन्तराष्ट्रिय  फौजदारी अदालत को सदस्यता त्याग्ने राष्ट्र कुन को ?,इजरयल,बुरुण्डी,कंगो,ताइवान,
प्यासिफिक एसिया ट्राभल एसोसिएसन (पाटा) द्वारा सन् २०१९ अक्टोबरमा सार्वजनिक तथ्याङ्कअनुसार पर्यटक वृद्धिदरमा एसिया प्रशान्त क्षेत्रमा पहिलो स्थानमा रहन सफल राष्ट्र कुन हो ?,भारत,चीन,पाकिस्थान,नेपाल,
नेपाल संयुक्त राष्ट्र संघ को आर्थिक तथा सामाजिक परिषद को कति पटक सदस्य भएको छ ?,२ पटक,१ पटक,४ पटक,३ पटक,
विक्रम संवत् २०७६ असोज २८–३० सम्म काठमाडौँमा आयोजित गैरआवासीय नेपाली सङ्घ (एनआरएनए) को अध्यक्षमा चयन हुन सफल व्यक्तित्व को हुन् ?,कुमार पन्त,शेख घले,भबन  भट्ट,उपेन्द्र महतो,
काठमाडौँ उपत्यकामा विद्युतीय बस सेवाको सुरुवात कहिलेदेखि गरिएको हो ?,विसं २०७६ भदौ २२,विसं २०७६ भदौ २३,विसं २०७६ भदौ २५,विसं २०७६ भदौ २४,
१. जङ्गली हात्ती भगाउनका लागि साइरन ड्रोन निर्माण गर्ने नेपाली प्रतिभा को हुन् ?,रञ्जन चौधरी,अनिल प्रधान,अनुप श्रेष्ठ,राम भण्डारी,
१३औ SAG GAME 2019 (काठमाडौँ -पोखरा) कहिले देखि सुरु भयो?,सन् २०१९ डेसेम्बेर १०,सन् २०१९ नोवेम्बेर  १,सन् २०१९ डेसेम्बेर १,सन् २०१९ डेसेम्बेर ५,
